Lure Word,Related Word,Similarity,Num Characters,Num Syllables,Frequency
sleep,slept,0.622322917,5,1,4.18
sleep,nap,0.618222535,3,1,3.82
sleep,wakings,0.596597135,7,2,1.28
sleep,doze,0.582604706,4,1,2.64
sleep,snore,0.581038117,5,1,2.76
sleep,snooze,0.578818798,6,1,2.98
sleep,bed,0.577686489,3,1,5.07
sleep,awake,0.568663597,5,2,4.14
sleep,snoring,0.566265285,7,2,3.26
sleep,insomnia,0.522207081,8,3,3.43
sleep,zzz,0.517896116,3,1,2.21
sleep,snoozing,0.502674282,8,2,2.39
sleep,wakeful,0.491712391,7,3,1.94
sleep,dreamless,0.490749985,9,2,1.98
sleep,restful,0.490630776,7,2,2.75
sleep,dozing,0.482632428,6,2,2.59
sleep,narcoleptic,0.480617344,12,4,1.12
sleep,cuddle,0.473304003,6,2,3.4
sleep,drowsy,0.472259402,6,2,2.82
sleep,melatonin,0.46198374,9,4,2.96
sleep,sweats,0.461132735,6,1,3.1
sleep,circadian,0.461048037,9,3,2.97
sleep,eat,0.451666176,3,1,5.13
sleep,kip,0.451064378,3,1,3.04
sleep,drowsiness,0.450375825,10,3,2.67
sleep,arousals,0.449862212,8,3,1.45
sleep,meditate,0.446651757,8,3,3.26
sleep,hypersomnia,0.446556121,11,4,1.67
sleep,colicky,0.44607541,7,3,1.93
sleep,apnea,0.44363445,5,2,3
sleep,vegetate,0.441034704,8,3,1.58
sleep,nrem,0.440370262,4,1,1.64
sleep,polysomnographic,0.439564645,16,6,1.02
sleep,feedings,0.438654721,8,2,2.49
sleep,perspire,0.438580632,8,2,2
sleep,urinate,0.436643541,7,3,2.81
sleep,slumbers,0.43351227,8,2,2.13
sleep,relax,0.430528522,5,2,4.29
sleep,hallucinate,0.430291712,11,4,2.36
sleep,cataplexy,0.425787985,9,4,1.75
sleep,tiredness,0.425207287,9,3,2.92
sleep,shiftwork,0.425053358,9,2,1.35
sleep,drowse,0.423503488,6,1,1.34
sleep,stomachache,0.423039526,11,3,2.09
sleep,barbiturates,0.421615034,12,5,2.36
sleep,vomiting,0.417701125,8,3,3.63
sleep,alertness,0.417391151,9,3,2.75
sleep,bunk,0.417036831,4,1,3.45
sleep,vegging,0.41422981,7,2,1.39
sleep,erections,0.414020211,9,3,2.71
sleep,couch,0.413822323,5,1,4.17
sleep,asleep,0.413657725,6,2,1.24
